ObjectName,Summary,Supported Calls,Special Access Rules,Usage,Associated Objects,Additional Considerations and Related Objects
Calendar,"Represents a calendar. This can be a default user calendar, public      calendar, resource calendar, or holiday calendar. This object is available in API   version 45.0 and later.","describeSObjects(), query(), retrieve(), search()","Users with ""View Setup and Configuration"" user permissions can create, edit, and delete public and resource calendars in the user interface. All users, even those without the “View Setup and Configuration” user permission, can view calendars via the API.",,,
CalendarView,"Represents a calendar based on a Salesforce object, both standard and      custom. These calendars can be created and assigned to users other than the creator.   This object is available in API version 48.0 and later.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",All fields and entities referenced by field values must be accessible by the CalendarView creator even if the creator isn’t the CalendarView owner.,"To distribute a CalendarView to multiple users, IDs can be pulled from a group, user list, or profile. For this example, a CalendarView based on opportunity close dates is being distributed to a sales team in a public group, Sales Group:",,
CallCenter,"Represents a call center, which is alogical representation of a single computer-telephony integration(CTI) system instance in an organization.","create(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",Customer Portal users can't access this object.,Create a call center or query an existing call center. ,,
CallCoachConfigModifyEvent,Represents a Call Coaching configuration change. This object is available in API version 49.0 and later.,"create(),  describeSObjects()",,,,
CallCoachingMediaProvider,Represents the media provider for call recordings. This object is available in API version 49.0 and later. ,"create(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
CallDisposition,Represents a call result value that sales reps select when logging a call. This object is available in API version 47.0 and later.    ,"   describeSObjects(),    query(),    retrieve()","As of Spring ’20 and later, only your Salesforce org's internal users can access this     object.",,,
CallDispositionCategory,Represents the call outcome of a phone call that is used in reports and   branching criteria for sales cadences. This object is available in API version 47.0 and later.    ,"     describeSObjects(), query(),retrieve()   ","As of Spring ’20 and later, only your Salesforce org's internal users can access this     object.",,,
CallTemplate,Represents a call script for users to read when making calls. ,"   describeLayout(),    describeSObjects(),    getDeleted(),    getUpdated(),    query(),    retrieve()",,,,
Campaign,"Represents and tracks a marketing campaign, such as a direct mail   promotion, webinar, or trade show.","describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search()",Customer Portal users can't access this object.,"Client applications can create, update, delete, and query Attachment records associated with a campaign via the API.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
CampaignInfluence,Represents the association between a campaign and an opportunity in Customizable Campaign Influence. This object is available in API version 37.0 and later. ,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","To access this object, Customizable Campaign Influence must be enabled. Customer Portal users can’t access this object.",Use this object to create campaign influence records for your custom campaign influence models. Do not create campaign influence records for the Primary Campaign Source model. Records added to the Primary Campaign Source model via the API are deleted when the model is recalculated.,,
